State/Province ,City ,Zip Code,Climate Zone ,Project Name,Type of Geothermal System ,Site Type ,Size/Capacity,Project Status ,Users ,# of Households Served,# of Population Served,Buildings Connected ,Design Heating Load ,Design Cooling Load ,"Building Details (For each type of building): Renovated building? If yes, previous heating/cooling system used. ",Heat Pump/Heat Exchanger Unit ,Thermal Resources Details: ,Distribution System Details: ,Backup Generation,Ownership Model,$ Cost ,Funding Sources,"Subscription Information (Hookups, fees, rates) ",Emissions Savings (GHG) ,Operational Successes ,Additional Information,Site Contact,Referenced Sources,Other Notes (Not for publishing)
Colorado,Denver,,,"Colorado Geothermal Drilling, First Universalist Church",Individual GSHP,Church,One building,"Operating: Construction 2015, Operation 2018","Commercial, church",Not applicable,Unknown,1,Unknown,Unknown,"Yes. Natural gas furnaces. Building walls/ceilings replaced, ductwork reused",Unknown,"Not applicable, single building","10 GSHP, vertical boreholes ~450 ft depth",,Privately owned,"$4.5M project total, $443k renewable-energy improvements",Stretch donations and loans from community members. Repayment through domestically manufactured equipment and energy community location,Not applicable,Used less gas. Exact number unknown,"Decreased utility bills: ~$18k/year before renovation, ~$6k in 2019 (last pre-COVID year)",System designed compatible with rooftop solar minigrid,john@bringenberg.com,,
Connecticut,New Haven,,,Darrien Library,Individual GSHP System,Commercial. Library,Individual building,"Operating: Construction Feb 2019, Operation 2019",Commercial,N/A,N/A,1,Unknown,Unknown,Yes. Open loop geothermal system,GSHP,Unknown,N/A,,Private,Unknown,Friends of the Library covered initial capital for closed loop transition,N/A,Unknown,Unknown,Unknown,Unknown,,
Idaho,Twin Falls,,,College of Southern Idaho,Networked geothermal: combined closed and open loop,College campus,"19 buildings, 730,000 sq ft","Operating: Construction 1978, GSHP added 2006, Operation 1981",Mixed,Unknown,Unknown,19,Unknown,Unknown,Yes. Electricity powered cooling and heating,GSHP,"Two wells: 2,220 feet and 1,480 feet. No waste heat",Unknown,,"Private, college owned","Annual operating: $190,400",Geothermal loop: private college investment. Building renovations likely grants but unclear,N/A,Unknown,"At least $125k saved in heating costs/year. Heat pump efficiency ~4:1 (for every $1 electricity spent, $4 heating energy returned)","Advantage of placement over aquifer with ""artesian pressure"" - natural ground pressure brings hot water to surface. Geothermal linked to domestic hot water uses",CSI Physical Plant: 208-732-6600,,
Illinois,Chicago,,,Blacks in Green: Sustainable Square Mile,Unknown,Unknown,Unknown,Design Phase?,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,,,,Miami University ,,College Campys ,TBD ,In progress,Mixed: residential and commercial ,N/A ,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
